campaign_id,campaign_name,campaign_type,campaign_channel,campaign_start_date,campaign_end_date,campaign_category,offer_type,offer_value,creative_id,target_segment,product_id,target_row_count
CMP0001,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,PRD008,11805
CMP0002,2024 Retention Offer Personal Care 002,Retention,Email,2024-01-10,2024-01-25,Retention Offer,Percent Discount,15.0,CRT0002-EMAIL,Value Seekers,PRD024,4940
CMP0003,2024 Retention Offer Home & Kitchen 003,Retention,Email,2024-01-19,2024-02-14,Retention Offer,Fixed Discount,25.0,CRT0003-EMAIL,Mature Customers,PRD008,4461
CMP0004,2024 Customer Acquisition Electronics 004,Acquisition,Website / On-site,2024-01-26,2024-02-17,Customer Acquisition,Free Shipping,0.0,CRT0004-WEBSI,Broad Prospecting,PRD006,4880
CMP0005,2024 Customer Acquisition Fitness & Wellness 005,Acquisition,Direct Mail,2024-02-04,2024-02-14,Customer Acquisition,Percent Discount,15.0,CRT0005-DIREC,Digitally Oriented,PRD013,4149
CMP0006,2024 Cross-sell Promotion Electronics 006,Cross-sell,SMS,2024-02-10,2024-03-03,Cross-sell Promotion,Bundle Offer,12.0,CRT0006-SMS,Broad Prospecting,PRD003,5353
CMP0007,2024 Retention Offer Home & Kitchen 007,Retention,Website / On-site,2024-02-20,2024-03-14,Retention Offer,Percent Discount,25.0,CRT0007-WEBSI,Mature Customers,PRD009,5677
CMP0008,2024 Customer Acquisition Personal Care 008,Acquisition,SMS,2024-02-27,2024-03-11,Customer Acquisition,None,0.0,CRT0008-SMS,Broad Prospecting,PRD024,4935
CMP0009,2024 Premium / Upgrade Promotion Home & Kitchen 009,Upsell,Mobile Push,2024-03-01,2024-03-20,Premium / Upgrade Promotion,Percent Discount,15.0,CRT0009-MOBIL,Value Seekers,PRD007,7350
CMP0010,2024 Product Awareness Personal Care 010,Awareness,Direct Mail,2024-03-09,2024-04-03,Product Awareness,Percent Discount,15.0,CRT0010-DIREC,Broad Prospecting,PRD022,3435
CMP0011,2024 Cross-sell Promotion Fitness & Wellness 011,Cross-sell,Website / On-site,2024-03-15,2024-03-25,Cross-sell Promotion,None,0.0,CRT0011-WEBSI,High Income Professionals,PRD016,3988
CMP0012,2024 Customer Acquisition Apparel & Accessories 012,Acquisition,Email,2024-03-29,2024-04-10,Customer Acquisition,Percent Discount,15.0,CRT0012-EMAIL,Digitally Oriented,PRD029,4601
CMP0013,2024 Customer Acquisition Outdoor & Recreation 013,Acquisition,Email,2024-04-02,2024-04-22,Customer Acquisition,Loyalty Reward,10.0,CRT0013-EMAIL,Family Households,PRD031,4362
CMP0014,2024 Customer Acquisition Outdoor & Recreation 014,Acquisition,Email,2024-04-11,2024-04-20,Customer Acquisition,Fixed Discount,10.0,CRT0014-EMAIL,Prior Buyers,PRD031,3587
CMP0015,2024 Customer Acquisition Fitness & Wellness 015,Acquisition,Paid Social,2024-04-18,2024-05-11,Customer Acquisition,None,0.0,CRT0015-PAIDS,Broad Prospecting,PRD013,5827
CMP0016,2024 Customer Acquisition Home & Kitchen 016,Acquisition,Email,2024-04-26,2024-05-16,Customer Acquisition,Percent Discount,5.0,CRT0016-EMAIL,Mature Customers,PRD009,3890
CMP0017,2024 Summer Promotion Electronics 017,Retention,Email,2024-05-03,2024-05-25,Summer Promotion,None,0.0,CRT0017-EMAIL,High Income Professionals,PRD001,3346
